,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2280,002781,奇信股份,0.0,0.0,0.0,0.0,0.0,19.68,0.0,0.0,0.0,29.818,2.434,442800.0,180265.997568
2281,002780,三夫户外,0.0,0.0,0.0,0.0,0.0,19.23,0.0,0.0,0.0,-147.923,3.394,216048.019272,124239.534066
2282,002779,中坚科技,0.0,0.0,0.0,0.0,0.0,19.22,0.0,0.0,0.0,106.778,3.992,253704.0,77696.85
2283,002778,高科石化,0.0,0.0,0.0,0.0,0.0,19.09,0.0,0.0,0.0,56.147,2.722,170110.0355,86374.614
2284,002777,久远银海,0.0,0.0,0.0,0.0,0.0,33.32,0.0,0.0,0.0,58.456,6.012,574905.252544,200053.28
2285,002776,柏堡龙,0.0,0.0,0.0,0.0,0.0,19.32,0.0,0.0,0.0,35.778,2.088,464565.250128,203552.050128
2286,002775,文科园林,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,0.0,16.939,2.713,534747.502704,261661.875504
2287,002774,快意电梯,0.0,0.0,0.0,0.0,0.0,9.21,0.0,0.0,0.0,38.552,3.054,308350.8,78073.283283
2288,002773,康弘药业,0.0,0.0,0.0,0.0,0.0,52.26,0.0,0.0,0.0,54.438,9.387,3523421.601102,367928.058654
2289,002772,众兴菌业,0.0,0.0,0.0,0.0,0.0,10.91,0.0,0.0,0.0,27.974,1.6,407288.134577,238596.75777
2290,002771,真视通,0.0,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,48.605,5.171,337744.418,162475.6595
2291,002770,科迪乳业,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,35.917,2.798,471888.020507,250668.941432
2292,002769,普路通,0.0,0.0,0.0,0.0,0.0,16.03,0.0,0.0,0.0,89.056,4.618,603551.313624,306901.973868
2293,002768,国恩股份,0.0,0.0,0.0,0.0,0.0,29.09,0.0,0.0,0.0,34.224,4.394,789066.25,253083.0
2294,002767,先锋电子,0.0,0.0,0.0,0.0,0.0,20.48,0.0,0.0,0.0,66.065,4.376,307200.0,76800.0
2295,002766,索菱股份,0.0,0.0,0.0,0.0,0.0,14.27,0.0,0.0,0.0,40.771,3.191,601842.977978,270136.341371
