rule,totalCount,totalCountP,dateCount,dateCountP,d1cMean,d2cMean,d3cMean,d4cMean,d5cMean,d6cMean,d1hMean,d2hMean,d3hMean,d4hMean,d5hMean,d6hMean,day1cip,day1hip,day2cip,day2hip,day3cip,day3hip,day4cip,day4hip,day5cip,day5hip,day6cip,day6hip
rule-2+7+10,213397,5.779999999999999,1584,91.56,0.26,0.36,0.34,0.25,0.17,0.14,1.88,2.09,2.16,2.11,2.02,1.99,56.99999999999999,100.0,57.99999999999999,82.0,56.99999999999999,76.0,56.00000000000001,72.0,55.00000000000001,70.0,54.0,68.0
rule-2+10-11,1756079,47.589999999999996,1724,99.65,0.25,0.35,0.41,0.43,0.45,0.45,2.09,2.25,2.36,2.42,2.47,2.5,62.0,100.0,61.0,87.0,60.0,81.0,60.0,78.0,60.0,75.0,59.0,74.0
rule-3+4+10,562260,15.24,1719,99.36,0.3,0.3,0.28,0.25,0.23,0.22,2.43,2.49,2.48,2.46,2.44,2.44,61.0,100.0,57.99999999999999,89.0,59.0,82.0,56.99999999999999,78.0,57.99999999999999,75.0,56.99999999999999,74.0
rule-3-5+10,2519648,68.28999999999999,1724,99.65,0.22,0.29,0.34,0.38,0.44,0.46,2.19,2.3,2.38,2.45,2.52,2.57,61.0,100.0,59.0,88.0,60.0,82.0,60.0,78.0,59.0,75.0,59.0,74.0
rule-3-6+10,1973436,53.49,1724,99.65,0.2,0.26,0.29,0.3,0.35,0.37,2.19,2.28,2.35,2.38,2.44,2.5,61.0,100.0,57.99999999999999,88.0,59.0,81.0,59.0,77.0,57.99999999999999,75.0,57.99999999999999,74.0
rule-3+7+10,172989,4.6899999999999995,1538,88.9,0.26,0.41,0.41,0.34,0.26,0.21,1.85,2.12,2.22,2.19,2.11,2.08,56.00000000000001,100.0,57.99999999999999,82.0,56.99999999999999,75.0,56.00000000000001,73.0,55.00000000000001,70.0,55.00000000000001,68.0
rule-3+10-11,1694551,45.93,1724,99.65,0.25,0.36,0.41,0.45,0.48,0.47,2.11,2.26,2.38,2.45,2.51,2.54,62.0,100.0,61.0,87.0,60.0,82.0,60.0,77.0,60.0,75.0,57.99999999999999,74.0
rule+4-5+10,1657644,44.93,1719,99.36,0.26,0.2,0.17,0.12,0.05,0.05,2.43,2.42,2.38,2.34,2.27,2.26,61.0,100.0,56.99999999999999,90.0,56.00000000000001,83.0,56.00000000000001,78.0,55.00000000000001,75.0,56.00000000000001,73.0
rule+4-6+10,1258904,34.12,1719,99.36,0.21,0.16,0.12,0.04,-0.03,-0.02,2.43,2.41,2.36,2.29,2.22,2.21,60.0,100.0,56.00000000000001,90.0,56.00000000000001,82.0,55.00000000000001,77.0,55.00000000000001,74.0,54.0,73.0
rule+4+7+10,173643,4.71,1525,88.14999999999999,0.2,0.29,0.27,0.16,-0.01,-0.1,1.9,2.08,2.12,2.09,1.94,1.85,56.99999999999999,100.0,56.00000000000001,82.0,55.00000000000001,75.0,54.0,72.0,52.0,68.0,52.0,66.0
